model,lead,fold,test_years,group,n_cells,n_flooded,base_rate,precision,recall,f1,csi,pr_auc,brier,threshold
climatology,3,2,2012-2013,unusual,59217768,152182,0.002569870583437,0.1535773335337441,0.107424005467138,0.1264199822139736,0.0674750910096499,0.033022913305205,0.0026180329051893,0.205
persistence,3,2,2012-2013,recurring,383832,35949,0.093658162946289,0.4942511067388096,0.4472168905950096,0.4695591220409773,0.3068129770992366,0.2728100936634815,0.0946325475728964,0.5
climatology,3,2,2012-2013,recurring,383832,35949,0.093658162946289,0.3015935751098745,0.5306684469665359,0.3846053042750723,0.2380875121683348,0.2860342406234448,0.0760281326529872,0.205
persistence,3,3,2014-2015,all,59601600,426837,0.0071615023757751,0.3701806949089558,0.3734095216675218,0.3717880981622282,0.2283413465671077,0.1427163254157201,0.0090371231644788,0.5
climatology,3,3,2014-2015,all,59601600,426837,0.0071615023757751,0.2204176666889779,0.1080107863188992,0.1449782153745524,0.0781544543444946,0.0632432755931378,0.0068672732012563,0.17
persistence,3,3,2014-2015,unusual,59217768,365599,0.0061738058077433,0.3435825382302967,0.3451322350444066,0.3443556431287841,0.2079888967093974,0.1226244357522393,0.0081138991932286,0.5
climatology,3,3,2014-2015,unusual,59217768,365599,0.0061738058077433,0.1164347288828738,0.0432988055218969,0.0631236853385969,0.0325904575634361,0.0234517468155504,0.0061197043744869,0.17
persistence,3,3,2014-2015,recurring,383832,61238,0.1595437587277767,0.5244661359615871,0.5422286815376074,0.5331995182657567,0.3635119601510756,0.3574151381988351,0.1514725192271618,0.5
climatology,3,3,2014-2015,recurring,383832,61238,0.1595437587277767,0.4135316777313335,0.4943499134524315,0.4503436374996281,0.2906087106776358,0.3779094123620677,0.1222025171300254,0.17
persistence,3,4,2016-2017,all,59601600,218779,0.0036706900485892,0.2128313279758469,0.2191069526782735,0.2159235510991894,0.1210281942975158,0.0494992400450744,0.0058410680250194,0.5
climatology,3,4,2016-2017,all,59601600,218779,0.0036706900485892,0.10948203786612,0.1484374642904483,0.1260178927945704,0.067246049100487,0.0590908162436226,0.0036662972885834,0.145
persistence,3,4,2016-2017,unusual,59217768,165170,0.0027891966478709,0.1158706274001731,0.120748319912817,0.1182591989753715,0.0628456368225518,0.016443589424549,0.0050222257617004,0.5
climatology,3,4,2016-2017,unusual,59217768,165170,0.0027891966478709,0.0270226175159888,0.0350971726100381,0.0305351151190168,0.0155042698925105,0.0049693902414481,0.0029731133711333,0.145
persistence,3,4,2016-2017,recurring,383832,53609,0.1396678755288772,0.5270868247123731,0.522151131339887,0.524607369091795,0.3555713632437376,0.3419591181475497,0.1321724087621668,0.5
climatology,3,4,2016-2017,recurring,383832,53609,0.1396678755288772,0.3249451887941534,0.4976403215877931,0.3931647864179973,0.2446827049187845,0.3386406718043655,0.1106110137397718,0.145
persistence,3,5,2018-2019,all,59601600,166719,0.002797223564468,0.2901700146864809,0.2796801804233471,0.2848285488270095,0.1660641847975126,0.0831696976342334,0.0039286697001422,0.5
climatology,3,5,2018-2019,all,59601600,166719,0.002797223564468,0.1462387947782814,0.1544095154121605,0.1502131272373983,0.0812056402006245,0.0737721534956156,0.0028263246231788,0.135
persistence,3,5,2018-2019,unusual,59217768,121706,0.0020552277485365,0.2067394100460821,0.1994232001709036,0.203015411639238,0.1129755997654002,0.0428740024066777,0.0032180037586016,0.5
climatology,3,5,2018-2019,unusual,59217768,121706,0.0020552277485365,0.0306882257018801,0.0256684140469656,0.027954756961844,0.0141755150195117,0.006731011598372,0.0022523970164937,0.135
persistence,3,5,2018-2019,recurring,383832,45013,0.1172726609558348,0.5164114290993925,0.4966787372536823,0.5063529092020926,0.3390043821741042,0.3155164003063673,0.1135705204360241,0.5
climatology,3,5,2018-2019,recurring,383832,45013,0.1172726609558348,0.3046904466835498,0.5024992779863595,0.3793574788887118,0.2340784435475525,0.3393786443150962,0.0913721255503479,0.135
persistence,3,6,2020-2021,all,59601600,935811,0.0157011053394539,0.4980045606600308,0.4417718962482809,0.4682058536066058,0.3056584689979364,0.2287692173635232,0.015756691095541,0.5
climatology,3,6,2020-2021,all,59601600,935811,0.0157011053394539,0.356199747753429,0.0386295950784934,0.0697002503617568,0.0361085113204927,0.0654926205758377,0.0150987571073192,0.18
persistence,3,6,2020-2021,unusual,59217768,850848,0.0143681200547781,0.4848068483124529,0.4250618206777238,0.4529728050740148,0.2928020958905551,0.2143336624052983,0.0147509105713001,0.5
climatology,3,6,2020-2021,unusual,59217768,850848,0.0143681200547781,0.1170506164828033,0.0050878652826356,0.0097518449436379,0.0048998135829759,0.0320823030292891,0.0141346770144696,0.18
persistence,3,6,2020-2021,recurring,383832,84963,0.2213546551616332,0.6150043375441182,0.6091122017819521,0.6120440891243673,0.4409679618268575,0.4611314799283947,0.1709289480814523,0.5
climatology,3,6,2020-2021,recurring,383832,84963,0.2213546551616332,0.49331824382984,0.3745277356025564,0.4257929844045842,0.270480934328409,0.4531339300630111,0.1638374533905536,0.18
persistence,3,7,2022-2023,all,59601600,2910067,0.0488253167700196,0.7363711074384317,0.7254262530725237,0.7308577067798349,0.5758674269103796,0.5475890835103915,0.0260865983463531,0.5
climatology,3,7,2022-2023,all,59601600,2910067,0.0488253167700196,0.1126645884706648,0.0232991199171702,0.0386130356154881,0.0196865974520254,0.0557979143606732,0.0484844538168509,0.055
persistence,3,7,2022-2023,unusual,59217768,2835830,0.0478881608641514,0.7398975608060232,0.7279773470200964,0.7338890535023898,0.5796403984441618,0.5516553279468042,0.0252818208210751,0.5
climatology,3,7,2022-2023,unusual,59217768,2835830,0.0478881608641514,0.0388312880015779,0.0063868426527683,0.0109694639243814,0.0055149801500907,0.0478617577797397,0.0478615415714931,0.055
persistence,3,7,2022-2023,recurring,383832,74237,0.1934101377686071,0.6080395455909013,0.6279752683971604,0.6178466350359159,0.4470174227387356,0.453787151431168,0.1502480251776819,0.5
climatology,3,7,2022-2023,recurring,383832,74237,0.1934101377686071,0.3670517669306228,0.6693427805541711,0.4741118155839571,0.3107120301645166,0.4165506419446272,0.1445876261160872,0.055
persistence,3,8,2024-2025,all,59601600,2645133,0.0443802347587984,0.7339457782780204,0.735124472001975,0.7345346522834769,0.5804462789984036,0.5512967408491214,0.0235817494832353,0.5
climatology,3,8,2024-2025,all,59601600,2645133,0.0443802347587984,0.0639091248490918,0.0852955220021072,0.0730696031221808,0.037920208867209,0.0510855659989023,0.0440718478716569,0.005
persistence,3,8,2024-2025,unusual,59217768,2585140,0.0436548030651881,0.7364335692981419,0.7371554345219214,0.7367943251004191,0.5832734444919202,0.5543404355152017,0.0229916466963091,0.5
climatology,3,8,2024-2025,unusual,59217768,2585140,0.0436548030651881,0.0525106554613754,0.0674829989865152,0.0590627317017019,0.030430005475388,0.0441637410147414,0.0435847740943006,0.005
persistence,3,8,2024-2025,recurring,383832,59993,0.1563001521498989,0.6296206265091481,0.6476088877035654,0.6384880854560394,0.4689551950560062,0.4628266980770162,0.1146230642572792,0.5
climatology,3,8,2024-2025,recurring,383832,59993,0.1563001521498989,0.2459217318580753,0.8528494991082293,0.3817614075143539,0.2359116939165076,0.360200922470777,0.1192178022120306,0.005
persistence,6,1,2010-2011,all,59601600,173920,0.0029180424686585,0.0674731384777218,0.0671228150873965,0.067297520875548,0.0348204245622093,0.007251162241024,0.0054291998872513,0.5
climatology,6,1,2010-2011,all,59601600,173920,0.0029180424686585,0.0470924198184223,0.189920653173873,0.075471137676391,0.0392153836473357,0.0287780133426444,0.0030392585998797,0.13
persistence,6,1,2010-2011,unusual,59217768,144266,0.0024361944881137,0.0199598572702943,0.0198522174316886,0.0199058918381673,0.0100530029134051,0.0027840780518652,0.0047625233021278,0.5
climatology,6,1,2010-2011,unusual,59217768,144266,0.0024361944881137,0.0226819265989458,0.0967656966991529,0.0367497045018388,0.0187188075744126,0.0045429569131876,0.0026282475115753,0.13
persistence,6,1,2010-2011,recurring,383832,29654,0.077257758602722,0.2983507738155711,0.2970931408916166,0.2977206292347465,0.1748952812022313,0.1429429769215053,0.1082843535713541,0.5
