start_date,end_date,county,phase3plus_population,source_folder
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Mvolo,31000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Mvolo,27979.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Nagero,23253.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Nagero,24624.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Nagero,10695.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Nagero,24000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Nagero,25363.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Nyirol,106685.0,raw_data/IPC
2022-10-01 00:00:00+00:00,2022-11-30 00:00:00+00:00,Nyirol,106886.0,raw_data/IPC
2023-09-01 00:00:00+00:00,2023-11-30 00:00:00+00:00,Nyirol,50544.0,raw_data/IPC
2024-09-01 00:00:00+00:00,2024-11-30 00:00:00+00:00,Nyirol,88000.0,raw_data/IPC
2025-09-22 00:00:00+00:00,2025-11-30 00:00:00+00:00,Nyirol,83261.0,raw_data/IPC
2022-02-01 00:00:00+00:00,2022-03-31 00:00:00+00:00,Nzara,12540.0,raw_data/IPC
